Accession,Gene Symbol,Description,mean_CLIP_enrichment,CLIP-seq FDR,Ribosome density change (log2),RNA-seq mRNA change upon Lin28a KD (log2),candidate_group,binding_site_count,n_sites_detected_2plus_libraries,n_sites_detected_3_libraries,max_detected_libraries,mean_detected_libraries,depth_max_35L33G,depth_mean_35L33G,depth_max_2J3,depth_mean_2J3,depth_max_polyclonal,depth_mean_polyclonal,entropy_max_35L33G,entropy_mean_35L33G,entropy_max_2J3,entropy_mean_2J3,entropy_max_polyclonal,entropy_mean_polyclonal,has_binding_site
NM_008339,Cd79b,B-cell antigen receptor complex-associated protein beta chain precursor,,,,0.319626764274,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008340,Igfals,insulin-like growth factor-binding protein complex acid labile subunit precursor,,,,-0.238211175646,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008343,Igfbp3,insulin-like growth factor-binding protein 3 precursor,0.3480230377233,0.732608430693893,,0.232927502541,Not_candidate,1,1.0,1.0,3.0,3.0,27.0,27.0,13.0,13.0,15.0,15.0,1.24258038858,1.24258038858,0.666278442415,0.666278442415,0.636514168295,0.636514168295,True
NM_008344,Igfbp6,insulin-like growth factor-binding protein 6,,,,-1.62089503341,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008349,Il10rb,interleukin-10 receptor subunit beta precursor,,,,1.11595511161,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008350,Il11,interleukin-11 precursor,,,,-2.59193811306,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008353,Il12rb1,interleukin-12 receptor subunit beta-1 precursor,,,,-0.827678155062,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008354,Il12rb2,interleukin-12 receptor subunit beta-2 precursor,,,,-0.849792488964,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008355,Il13,interleukin-13 precursor,,,,-2.11362213917,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008357,Il15,interleukin-15 precursor,,,,0.877242366236,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008359,Il17ra,interleukin-17 receptor A precursor,1.4281033327756834,0.17113509984144,,-0.17562447717,Not_candidate,3,1.0,0.0,2.0,1.3333333333333333,15.0,11.0,48.0,37.0,,,1.07899220788,0.8849577585970001,0.948962698923,0.8848811940435,,,True
NM_008364,Il1rap,interleukin-1 receptor accessory protein isoform a precursor,2.1386588160828133,0.0361914835438685,,-0.121241688271,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008365,Il18r1,interleukin-18 receptor 1 isoform a,,,,0.322359642071,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008367,Il2ra,interleukin-2 receptor subunit alpha precursor,,,,0.0,Not_candidate,0,,,,,,,,,,,,,,,,,False
