Accession,Gene Symbol,Description,candidate_group,high_confidence,Ribosome density change (log2),RNA-seq mRNA change upon Lin28a KD (log2),mean_CLIP_enrichment,CLIP-seq FDR,total_binding_site_count,binding_site_count,dominant_binding_region,5UTR_site_count,CDS_site_count,3UTR_site_count,is_ER_or_protein_folding,is_membrane_or_transmembrane,is_secretory_or_extracellular,is_Golgi_or_trafficking,is_lysosome_or_endosome,is_receptor_or_signaling,is_transporter_or_channel,is_adhesion_or_ECM,is_other_or_unclear,is_adhesion_or_ECM,ER_membrane_core,ER_membrane_broad
NM_080556,Tm9sf2,transmembrane 9 superfamily member 2 precursor,Not_candidate,False,0.878757796184242,-0.0950702712307,1.4068676675883165,0.180442069628391,0,0,none,0,0,0,False,True,False,False,False,False,False,False,False,False,True,True
NM_010493,Icam1,intercellular adhesion molecule 1 precursor,Not_candidate,False,0.878587089804504,-0.114314362337,0.1187803814473498,0.958218962190455,21,21,CDS,0,12,9,False,False,False,False,False,False,False,True,False,True,False,False
NM_133728,Asnsd1,asparagine synthetase domain-containing protein,Not_candidate,False,0.877692753975996,-0.698992534163,0.1744049931829509,0.917957467281191,26,26,CDS,1,25,0,False,False,False,False,False,False,False,False,True,False,False,False
NM_019683,Ankrd49,ankyrin repeat domain-containing protein 49,Not_candidate,False,0.87444310209062,-0.606062868095,-0.6649700960987573,0.999999999990223,7,7,3UTR,0,3,4,False,False,False,False,False,False,False,False,True,False,False,False
NM_138667,Tab2,TGF-beta-activated kinase 1 and MAP3K7-binding,Not_candidate,False,0.874205772087546,-0.135223666638,0.6423539162725936,0.578915800497174,0,0,none,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False
NM_026219,Uqcrb,cytochrome b-c1 complex subunit 7,Not_candidate,False,0.872565889544104,-0.138622268593,-0.8339211039589668,0.999999999990223,0,0,none,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
NM_178794,Zrsr2,U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2 isoform 2,Not_candidate,False,0.872103525868391,-0.577384362813,0.0849890035371457,0.977929021054346,0,0,none,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
NM_022721,Fzd5,frizzled-5 precursor,Not_candidate,False,0.870269197632221,0.368176580876,1.33591023251471,0.203056691169599,53,53,3UTR,3,8,42,False,False,False,False,False,False,False,False,True,False,False,False
NM_025661,Ormdl3,ORM1-like protein 3,Not_candidate,False,0.869465289395401,0.131954438472,1.1539256524704231,0.280776056644564,10,10,3UTR,1,1,8,False,False,False,False,False,False,False,False,True,False,False,False
NM_008720,Npc1,Niemann-Pick C1 protein precursor,Not_candidate,False,0.867528599457555,0.291163964638,1.5215323276926769,0.143791253522609,37,37,CDS,0,29,8,False,False,False,False,False,False,False,False,True,False,False,False
NM_021495,Pvrl3,poliovirus receptor-related protein 3 isoform alpha,A_and_B_overlap,True,0.867099929565111,-0.323691220379,2.8822204004836838,0.0088254574246908,17,17,CDS,0,17,0,False,False,False,False,False,True,False,False,False,False,False,False
NM_020585,Golga7,Golgin subfamily A member 7,Not_candidate,False,0.866524937154257,0.282819886398,-1.1479151542139563,0.999999999990223,6,6,3UTR,0,1,5,False,False,False,True,False,False,False,False,False,False,True,True
